Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Home advantage in soccer—A matter of expectations, goal setting and tactical decisions of coaches?","Staufenbiel, Kathrin; Lobinger, Babett; Strauss, Bernd","Journal of Sports Sciences",="02640414",,="20151101","33","18","1932","10","2015-36974-009","10.1080/02640414.2015.1018929","Taylor & Francis","Journal Article","Athletic Performance; Coaches; Decision Making; Goal Setting; Soccer; Adulthood (18 yrs & older); Male; Female",,"In soccer, home teams win about 67% of decided games. The causes for this home advantage are still unresolved. There is a shortage of research on the psychological states of actors involved. In this study, we examined soccer coaches’ expectations, goal setting and tactical decisions in relation to game location. Soccer coaches (N = 297) with different expertise levels participated in an experimental, online management game and were randomly assigned to one of two groups, 'home game (HG)' or 'away game.' Participants received information on the game for which they were asked to make decisions in multiple points. The only differing information between groups was game location. Regardless of expertise, HG coaches had higher expectations to win, set more challenging goals and decided for more offensive and courageous playing tactics. Possible consequences of these findings concerning home advantage in soccer are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-36974-009&site=ehost-live"
"Home advantage in speed skating: Evidence from individual data.","Koning, Ruud H.","Journal of Sports Sciences",="02640414",,="20050401","23","4","417","11","2005-04760-004","10.1080/02640410400021625","Taylor & Francis","Journal Article","Athletic Performance; Sports; Male; Female",,"Home advantage is a well-documented phenomenon in many sports. Home advantage has been shown to exist for team sports (soccer, hockey, football, baseball, basketball) and for countries organizing sports tournaments like the Olympics and World Cup Soccer. There is also some evidence for home advantage in some individual sports, but there is a much more limited literature. This paper addresses the issue of home advantage in speed skating. From a methodological point of view, it is difficult to identify home advantage, because skaters vary in their abilities and the conditions of tournaments vary. There is a small but significant home advantage using a generalized linear mixed model, with random effects for skaters and fixed effects for skating rinks and seasons. Even though the home advantage effect exists, it is very small when compared to variation in skating times due to differences of rinks and individual abilities. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-04760-004&site=ehost-live"
"Home advantage in the Six Nations Rugby Union tournament.","Thomas, Sion; Reeves, Colin; Bell, Andrew","Perceptual and Motor Skills",="00315125",,="20080201","106","1","113","4","2008-05620-011","10.2466/PMS.106.1.113-116","Perceptual & Motor Skills","Journal Article","Athletic Performance; Competition; Sports; Sports Spectators; Teams; Adulthood (18 yrs & older)",,"This study examined whether home advantage occurred in the Six Nations Rugby Union tournament. Data were gathered using the final championship standings from the tournament's inception in 2000 to the recently completed 2007 season. Home advantage for each championship season was defined as the number of points won by teams playing at home, expressed as a percentage of all points gained either at home or away. An analysis of home advantage for each of eight seasons of competition ranged from 53% (2005) to 70% (2006). There was an overall statistically significant home advantage of 61% for 120 matches played in the Six Nations tournament between 2000 and 2007. Also analysed were the percentage of points won at home by each country. Again, evidence supported home advantage amongst all competing nations regardless of the team's quality. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-05620-011&site=ehost-live"
"Home advantage in Turkish professional soccer.","Seçkin, Aylin; Pollard, Richard","Perceptual and Motor Skills",="00315125",,="20080801","107","1","51","4","2008-16126-006","10.2466/PMS.107.5.51-54","Perceptual & Motor Skills","Journal Article","Regional Differences; Soccer; Teams; Adulthood (18 yrs & older)",,"Home advantage is known to play an important role in the outcome of professional soccer games and to vary considerably worldwide. In the Turkish Super League over the last 12 years, 61.5% of the total points gained have been won by the home team, a figure similar to the worldwide average and to the Premier League in England. It is lower (57.7%) for games played between teams from Istanbul and especially high for games involving teams from cities in the more remote and ethnically distinct parts of Turkey (Van and Diyarbakir). Match performance data show that although home teams in Turkey take 26% more shots at goal than away teams, the success rates for shots do not differ. For fouls and disciplinary cards, home and away teams do not differ significantly in Turkey, a finding that differs from games in England, perhaps due to less referee bias. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-16126-006&site=ehost-live"
"Home field advantage: Does anxiety contribute?","Duffy, Linda J.; Hinwood, Darren P.","Perceptual and Motor Skills",="00315125",,="19970201","84","1","283","4","1997-08007-036","10.2466/PMS.84.1.283-286","Perceptual & Motor Skills","Journal Article","Anxiety; Athletes; Environmental Effects; Soccer; Human Males; Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male",,"Assessed whether scores on anxiety among professional soccer players differed when playing a match at home or away. The Illinois Self-evaluation Questionnaire (R. Martens et al, 1977) was administered to 30 professional male soccer players from the English league (mean age 25 yrs) 1-hr before a match at home and away. Analyses shows no significant differences between scores on anxiety measured before matches at home or away. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-08007-036&site=ehost-live"
"Home field advantage: New stadium construction and team performance in professional sports.","Watson, Jack C. II; Krantz, Andrew J. III","Perceptual and Motor Skills",="00315125",,="20031201","97","3, Pt 1","794","3","2004-10149-016","10.2466/PMS.97.7.794-796","Perceptual & Motor Skills","Journal Article","Athletic Performance; Sports; Sports Spectators; Teams; Baseball; Basketball; Football",,"To identify the relations between new stadiums and home team performance and attendance for professional baseball (MLB; n=14), basketball (NBA; n=13), and football (NFL; n=25) teams in the USA since 1950 dependent t tests assessed significance of increases in attendance in both MLB and the NBA and a significantly improved home winning percentage in MLB following the building of new stadiums. Implications include a better understanding of the rationales used by owners, fans, and players for building new stadiums. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-10149-016&site=ehost-live"
"How does crowd support contribute to home advantage in soccer?","Goumas, Chris","Journal of Sport Behavior",="01627341",,="20140901","37","3","236","15","2014-31530-002",,"University of South Alabama","Journal Article","Soccer; Sports; Sports Spectators; Teams; Adulthood (18 yrs & older)",,"Crowd support appears to play a major role in home advantage (HA) in soccer, although the mechanisms through which it operates are unclear. Match data from ten seasons of the Union of European Football Associations (UEFA) Champions League were used to investigate the roles crowd size, crowd density and crowd proximity play in HA in soccer. Multivariate Poisson regression analysis was used to estimate HA in terms of the percentage of goals scored by home teams, and to quantify the extent to which each crowd factor independently contributes to it. HA increased by 3.3% per each 10% increase in crowd size (p < 0.001), mostly due to away teams scoring fewer goals as crowd size increases. HA was less in stadia with a running track separating the crowd from the playing field (56%) than in those without (60%; p < 0.05). There was no evidence of an independent effect of crowd density on HA. The results suggest that home-team crowd support contributes to HA in soccer mainly through the absolute size of the crowd, and that its influence is exerted mostly by reducing the away team's attacking strength. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-31530-002&site=ehost-live"
"Improved training of football referees and the decline in home advantage post-WW2.","Nevill, Alan; Webb, Tom; Watts, Adam","Psychology of Sport and Exercise",="14690292",,="20130301","14","2","220","8","2013-02134-012","10.1016/j.psychsport.2012.11.001","Elsevier Science","Journal Article","Athletic Performance; Athletic Training; Decision Making; Football; War; Adulthood (18 yrs & older)",,"Objectives: Research has identified a decline in home advantage (HA) in a number of professional leagues since World War 2 (WW2). The purpose of the current study was to identify whether the decline in HA in English and Scottish Professional Football Leagues is mirrored by the radical transformation in the training of referees post-WW2, thus providing a new insight into the cause of HA. Design: A longitudinal quasi-experimental design. Methods: HA was calculated for each team at the end of every season for the four English and the Scottish Premier League post-WW2. We also compiled a list of events, statements and quotations to illustrate the dramatic change in the way referees have been trained (physically and psychologically), and assessed over the same period. Results: We observed a systematic decline in HA in professional English and Scottish leagues post-WW2, but with the steepest decline observed in lower divisions with smaller crowds. Of the factors thought to influence HA, crowd support appears the most consistent with these observations. Crowds are known to influence referees’ decisions to favour the home side. However we argue that improved training of referees since WW2 has contributed to an improved ability to make objective decisions and a greater resilience to crowd influence, which explains the decline in HA but also accounts for the steeper decline observed with smaller crowds. Conclusions: The continued existence of HA, and the less steep decline observed in top leagues suggests that referees’ judgements are still not immune to the influence of larger crowds. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2013-02134-012&site=ehost-live"
"Influence of ball type on home advantage in French professional soccer.","Dosseville, Fabrice E. M.","Perceptual and Motor Skills",="00315125",,="20070401","104","2","347","5","2007-09246-002","10.2466/PMS.104.2.347-351","Perceptual & Motor Skills","Journal Article","Apparatus; Environmental Effects; Soccer; Sport Psychology",,"The home advantage has been consistently found in soccer matches, but conclusive evidence of the origin of this home advantage has yet to be identified. One factor often thought to contribute is familiarity with a local facility. The present study examined home advantage in the French professional soccer male championships (20 teams in each Ligue 1 and 2) and explored the influence of soccer ball type on this phenomenon. Whether it is knowing how a soccer ball rolls on a particular grass surface or some other aspect, the home team can react to the situation better if they know from experience what is likely to happen. The results suggest that type of soccer ball may have an influence on home advantage. Confounding factors are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-09246-002&site=ehost-live"
"Location variations in professional football.","Acker, Jon C.","Journal of Sport Behavior",="01627341",,="19970801","20","3","247","13","1997-43417-001",,"University of South Alabama","Journal Article","Athletic Performance; Environmental Effects; Football; Teams; Working Conditions; Athletes; Sport Psychology; Adulthood (18 yrs & older); Male",,"Investigated whether domed stadiums and team quality effect home field advantage (HFA) for individual locations. The points-margin or 'spread' (i.e. home team points minus visiting team points) was calculated for 1,568 professional football home games between 1988 and 1994. Individual team and team quality (season victories) statistics were analyzed using simple linear regression to determine the advantage. On average, the home team outscored the opponent by 2.91 points. The most striking finding was a nearly perfect positive linear relationship among the season victories' mean points-margins. Results indicate evidence that stadiums amplify the effects of HFA, with domed teams averaging a HFA of 3.22 points, while open stadium teams averaged 3.01 points. This study was unable to discern whether team quality or location weighs more heavily in determining HFA. (French abstract) (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1997-43417-001&site=ehost-live"
"National culture and home advantage in football.","Gelade, Garry A.","Cross-Cultural Research: The Journal of Comparative Social Science",="10693971",,="20150701","49","3","281","16","2015-24903-003","10.1177/1069397114556055","Sage Publications","Journal Article","Athletic Performance; Soccer; Social Processes; Sociocultural Factors; Sports Spectators; Collectivism; Teams",,"This article examines home advantage (HA) in association football (soccer). HA is the tendency for teams to perform better when playing on their home ground than when playing away. National variations in HA are found to be related to national cultural and social characteristics. HA tends to be elevated in countries with high levels of collectivism and in-group favoritism, and in countries where governance is prone to corruption and where the rule of law is not strictly adhered to. These findings are consistent with the concept of HA as a social phenomenon that derives from the influence of spectators on the match officials. HA is also found to be elevated in countries with diverse terrain, but the effects of culture persist even when diversity of terrain is controlled for. On the other hand, the hypothesis that HA is elevated in the presence of large crowds or potentially violent spectators was not supported. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-24903-003&site=ehost-live"
"On referee bias, crowd size, and home advantage in the English soccer premiership.","Johnston, Ron","Journal of Sports Sciences",="02640414",,="20080401","26","6","563","6","2011-26423-002","10.1080/02640410701736780","Taylor & Francis","Journal Article","Competition; Soccer; Sports Spectators",,"In a recent paper in this journal, Boyko and colleagues (2007) identified differences in attendance and referee bias as factors influencing home advantage at soccer matches in the English Premiership. A replication of their study using more recent data found no evidence to sustain either of their claims. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-26423-002&site=ehost-live"
"On the advantage of playing the second game at home in the knock out stages of European soccer cup competitions.","Lidor, Ronnie; Bar‐Eli, Michael; Arnon, Michal; Bar‐Eli, Asaph A.","International Journal of Sport and Exercise Psychology",="1612197X",,="20100101","8","3","312","14","2011-27169-006","10.1080/1612197X.2010.9671956","Fitness Information Technology","Journal Article","Athletic Performance; Games; Soccer; Adulthood (18 yrs & older)",,"This study explores, in the case of two soccer teams playing against each other twice in a knock out system, whether it is more advantageous to enjoy home advantage in the first game or to play the second game at home. Our data analysis included 398 soccer games (199 played at home and 199 played away): 220 (110 home and 110 away) games played in the Union of European Football Associations (UEFA) Champions League and 178 (89 home and 89 away) games in the UEFA Cup. Multiple chi-square (χ²) analyses indicated that the teams playing the second game at home had a substantially higher chance of advancing to the next round than the teams playing the first game at home. Analysis of variance conducted on the number of goals scored in each of the two games revealed that the average number of goals scored by the home team increased in the second game. It was also found that both effects decreased when the level of competition was higher. We argue that in the first game both teams attempt to achieve the maximum potential, whereas in the second game, goal specificity exists. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-27169-006&site=ehost-live"
"Perspectives on the home advantage: A comparison of football players, fans and referees.","Anderson, Melissa; Wolfson, Sandy; Neave, Nick; Moss, Mark","Psychology of Sport and Exercise",="14690292",,="20120501","13","3","311","6","2012-05447-011","10.1016/j.psychsport.2011.11.012","Elsevier Science","Journal Article","Athletes; Football; Sports Spectators; Adulthood (18 yrs & older); Male; Female",,"Objectives: The study aimed to address the paucity of research pertaining to perceptions of causes of the home advantage. The views of three key personnel groups in football (soccer) were examined with regard to their perspectives. Design and procedure: Players (n = 94), fans (n = 116) and referees (n = 163) completed a ten-item questionnaire on which they rated the contribution of the most prominent factors known to influence the home advantage. Results: Factor analysis revealed three subscales (officials, player state and home environment) relating to explanations for the home advantage. A MANOVA examining the groups’ ratings for these three subscales found that the fans and player gave higher ratings for the contribution of officials and player state than did referees, while the fans gave higher ratings for the home environment. Conclusion: The present study provides an insight into conceptualisations of the home advantage from the perspectives of different football groups. The relevance of self-enhancement, emanating from motivational and information processing mechanisms, is considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2012-05447-011&site=ehost-live"
"Preparation for football competition at moderate to high altitude.","Gore, C. J.; McSharry, P. E.; Hewitt, A. J.; Saunders, P. U.","Scandinavian Journal of Medicine & Science in Sports",="09057188",,="20080801","18","Suppl 1","85","11","2008-09750-002","10.1111/j.1600-0838.2008.00836.x","Blackwell Publishing","Journal Article","Altitude Effects; Athletic Performance; Competition; Football",,"Analysis of ∼100 years of home-and-away South American World Cup matches illustrate that football competition at moderate/high altitude (>2000 m) favors the home team, although this is more than compensated by the likelihood of sea-level teams winning at home against the same opponents who have descended from altitude. Nevertheless, the home team advantage at altitudes above ∼2000m may reflect that traditionally, teams from sea level or low altitude have not spent 1–2 weeks acclimatizing at altitude. Despite large differences between individuals, in the first few days at high altitude (e.g. La Paz, 3600 m) some players experience symptoms of acute mountain sickness (AMS) such as headache and disrupted sleep, and their maximum aerobic power (VO2max) is ∼25% reduced while their ventilation, heart rate and blood lactate during submaximal exercise are elevated. Simulated altitude for a few weeks before competition at altitude can be used to attain partial ventilatory acclimation and ameliorated symptoms of AMS. The variety of simulated altitude exposures usually created with enriched nitrogen mixtures of air include resting or exercising for a few hours per day or sleeping ∼8 h/night in hypoxia. Preparation for competition at moderate/high altitude by training at altitude is probably superior to simulated exposure; however, the optimal duration at moderate/ high altitude is unclear. Preparing for 1–2 weeks at moderate/high altitude is a reasonable compromise between the benefits associated with overcoming AMS and partial restoration of VO2max vs the likelihood of detraining. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2008-09750-002&site=ehost-live"
"Reduced home advantage for basketball teams from capital cities in Europe.","Gomez, Miguel A.; Pollard, Richard","European Journal of Sport Science",="17461391",,="20110301","11","2","143","6","2011-03582-009","10.1080/17461391.2010.499970","Taylor & Francis","Journal Article","Athletic Performance; Basketball; Teams; Adulthood (18 yrs & older)",,"The aim of the present study was to investigate the home advantage effect in professional basketball leagues in Europe, especially the differences in home advantage between capital city teams and other teams in each country. All the teams (n = 159) of seven national professional basketball leagues were studied (Bulgaria, Greece, Lithuania, Romania, Russia, Spain, and Turkey) and classified as capital city teams or other teams. The data (n = 7432 games) were gathered for six seasons (2003-2004 to 2008-2009). The results confirmed the existence of a home advantage effect in all seven basketball leagues. There was a significant difference (P < 0.001) between the leagues, with home advantage highest in Romania (65.10%) and Greece (65.02%), and lowest in Turkey (58.12%) and Lithuania (56.13%). The results also show that capital city teams experienced lower home advantage compared with other teams in all seven countries. After controlling for team ability, this was statistically significant for Bulgaria, Greece, Romania, and Turkey (all P < 0.05), but not for Lithuania, Russia or Spain (all P > 0.10). These results are consistent with previous studies in football, which suggested that teams playing in capital cities in Europe had lower home advantage than those playing elsewhere. Possible reasons for this finding include a diminished sense of being part of a cohesive local community when playing in a capital city, a lower sense of territorial protection and, for the away team, a lessened feeling of unfamiliarity. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-03582-009&site=ehost-live"
"Reducing the home advantage: The example of men's World Cup soccer.","Whitehead, George; Smith, Stephanie H.; Kitzrow, Andrew P.; Wanek, Heather M.; Cuadra, Jessica R.","North American Journal of Psychology",="15277143",,="20150601","17","2","383","4","2015-22432-016",,"North American Journal Of Psychology","Journal Article","Athletic Performance; Soccer; Sports; Expectations; Probability; Male",,"This study examined the home field advantage in men’s World Cup soccer. A framework explaining a portion of this advantage includes game location factors, such as rule changes. To examine whether changes in rules may alter the home advantage, we focused on the change made to the rules for the men’s World Cup. In 1982, for the first time the Fédération Internationale de Football Association (FIFA) increased the number of qualifying teams from 16 to 24 and in 1998 from 24 to 32, thereby decreasing the probability of a home team advantage by chance alone. We predicted and found that prior to 1982 more teams playing in their home country made the finals (63.6%) than from 1982 to 2014 (11.1%). The former was significantly different from what would be expected by chance (12.5%), whereas the latter was not significantly different from what would be expected by chance (6.25%). However, travel might also account for this difference. Implications are discussed. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2015-22432-016&site=ehost-live"
"Referee bias contributes to home advantage in English Premiership football.","Boyko, Ryan H.; Boyko, Adam R.; Boyko, Mark G.","Journal of Sports Sciences",="02640414",,="20070901","25","11","1185","10","2007-12890-002","10.1080/02640410601038576","Taylor & Francis","Journal Article","Decision Making; Soccer; Sport Psychology; Teams; Competition; Adulthood (18 yrs & older)",,"Officiating bias is thought to contribute to home advantage. Recent research has shown that sports with subjective officiating tend to experience greater home advantage and that referees' decisions can be influenced by crowd noise, but little work has been done to examine whether individual referees vary in their home bias or whether biased decisions contribute to overall home advantage. We develop an ordinal regression model to determine whether various measures of home advantage are affected by the official for the match and by crowd size while controlling for team ability. We examine 5244 English Premier League (EPL) match results involving 50 referees and find that home bias differs between referees. Individual referees give significantly different levels of home advantage, measured as goal differential between the home and away teams, although the significance of this result depends on one referee with a particularly high home advantage (an outlier). Referees vary significantly and robustly in their yellow card and penalty differentials even excluding the outlier. These results confirm that referees are responsible for some of the observed home advantage in the EPL and suggest that home advantage is dependent on the subjective decisions of referees that vary between individuals. We hypothesize that individual referees respond differently to factors such as crowd noise and suggest further research looking at referees' psychological and behavioural responses to biased crowds. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-12890-002&site=ehost-live"
"Supporters are not necessary for the home advantage: Evidence from same‐stadium derbies and games without an audience.","van de ven, Niels","Journal of Applied Social Psychology",="00219029",,="20111201","41","12","2785","8","2011-30031-001","10.1111/j.1559-1816.2011.00865.x","Wiley-Blackwell Publishing Ltd.","Journal Article","Athletic Performance; Audiences; Games; Teams",,"The home advantage is the phenomenon in sports whereby the home team wins more often than the visiting team. The current data show that home crowd support is not a necessary precondition for the home advantage. In soccer games where no audience was present, the home team still had a home advantage. Furthermore, in some same-stadium derbies (games played between 2 teams that share a stadium; e.g., AC Milan vs. Internazionale in soccer), the home team always has more crowd support, but in these games no home advantage existed. Together, these findings suggest that crowd support is not a necessary condition for a home advantage to occur. The phenomenon might thus be much broader than assumed so far. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2011-30031-001&site=ehost-live"
"Testosterone and cortisol responses in male soccer players: The effect of home and away venues.","Fothergill, Melissa; Wolfson, Sandy; Neave, Nick","Physiology & Behavior",="00319384",,="20170801","177",,"215","6","2017-24748-031","10.1016/j.physbeh.2017.04.021","Elsevier Science","Journal Article","Hydrocortisone; Testosterone; Soccer; Adolescence (13-17 yrs); Male; Female",,"The present studies examined the influence of playing venue on psychobiological responses in male soccer players. Many studies have demonstrated the existence of a home advantage, wherein teams perform better at home than away. A recent focus has attempted to explain this advantage from a psychobiological perspective, with studies showing hormonal differences with regard to venue, game outcome, dominance and perceived stress. Two studies investigated testosterone and cortisol responses in relation to home and away venues. In an initial study of 18 male elite Premier League academy soccer players (age, 17.47, SD, 64), salivary cortisol levels were monitored in two competitive matches, both at home and away. Higher post-game cortisol levels were observed at home (p = 0.002), with the team winning all its games. In a second study involving a 12 semi-professional group of players (age, 23.17, SD, 3.8), the same post-game cortisol findings at home were replicated (p = 0.001), with this team losing all its games. No effects were observed for testosterone in either study. The results extend earlier research findings on the complex relationship which surrounds the psychobiological impact on the home advantage. The findings suggest that higher levels of stress are experienced by home players in their home matches. (PsycINFO Database Record (c) 2017 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2017-24748-031&site=ehost-live"
"Testosterone, territoriality, and the 'home advantage'.","Neave, Nick; Wolfson, Sandy","Physiology & Behavior",="00319384",,="20030201","78","2","269","7","2003-04926-014","10.1016/S0031-9384(02)00969-1","Elsevier Science","Journal Article","Athletic Performance; Competition; Salivary Glands; Territoriality; Testosterone; Soccer; Adolescence (13-17 yrs); Adulthood (18 yrs & older); Young Adulthood (18-29 yrs); Thirties (30-39 yrs); Male",,"The consistently better performance seen by teams in various sporting contexts when playing at home is referred to as the 'home advantage'. Various explanations have been put forward to account for this robust phenomenon, though none has yet focussed on possible hormonal factors. In an initial study, we showed that salivary testosterone levels in 17 male soccer players (aged 21-35 yrs) were significantly higher before a home game than an away game. In a second study involving a different group of 25 soccer players (aged 16.75-19.33 yrs), this finding was replicated over two home games, two away games, and three training sessions. Perceived rivalry of the opposing team was important as testosterone levels were higher before playing an 'extreme' rival than a 'moderate' rival. Self-reported measures of mood in both studies were not linked to testosterone level. The present results corroborate and extend earlier findings on the relationships between testosterone, territoriality, and dominance in human competitive encounters and further suggest an important role for testosterone in the home advantage seen in various team sports. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2003-04926-014&site=ehost-live"
"The effect of the audience on the home advantage.","Salminen, Simo","Perceptual and Motor Skills",="00315125",,="19930601","76","3, Pt 2","1123","6","1993-47456-001","10.2466/pms.1993.76.3c.1123","Perceptual & Motor Skills","Journal Article","Athletic Performance; Audiences; Teams; Athletes; Basketball; Sports; Adulthood (18 yrs & older)",,"Evaluated a model based on the hypothesis that a supportive audience encourages the home team to play up to potential, while an unsupportive audience has the opposite effect. The model was tested by conducting a content analysis of 56 soccer, ice hockey, and basketball matches shown on Finnish TV between July, 1984 and March, 1986. The content analysis of each match registered the audience's clear reactions, goals, and penalties over a 5-min playing time. Results did not confirm the model. When the audience supported the home team, the team scored more points and made more fouls than the visiting team. At the same time, the home team also scored more points when the audience supported the visiting team. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1993-47456-001&site=ehost-live"
"The effects of air travel on performance measures of elite Australian rugby league players.","McGuckin, Teneale Alyce; Sinclair, Wade Heath; Sealey, Rebecca Maree; Bowman, Paul","European Journal of Sport Science",="17461391",,="20140101","14","Suppl 1","S116","7","2014-02749-015","10.1080/17461391.2011.654270","Taylor & Francis","Journal Article","Athletes; Athletic Performance; Competition; Fatigue; Air Transportation; Adulthood (18 yrs & older); Male; Female",,"The current study explored the effects of short haul air travel within the same country on elite Australian rugby league (RL) players (n = 12) during two away and two home games of elite competition. Physiological tests of handgrip strength and leg power were assessed along with psychological tests and perceptions of leg soreness and tiredness on the day before the game (Time 1 and Time 2) and on game day (Time 3). Game statistics of tackles and metres gained were assessed for the games analysed. Significant differences were found for daily analyses of life demands for athletes (DALDA) worse than normal responses at Time 2 (2.50 ± 3.23 vs. 3.50 ± 3.93; P = 0.04), Karolinska Sleepiness Scale (KSS) at Time 2 (2.88 ± 1.51 vs. 3.71 ± 1.37; P = 0.011) and leg tiredness at Time 3 (3.38 ± 1.66 vs. 2.35 ± 1.70; P = 0.004) between home and away games. The analysis of game statistics identified that more metres were gained during home games (83.6 ± 49.1 vs. 63.0 ± 30.1; P = 0.02) and more tackles made while playing away (18.4 ± 9.2 vs. 14.3 ± 6.7; P = 0.016). The results suggest that short haul air travel without crossing time zones results in symptoms of travel fatigue but does not appear to negatively impact on elite RL players ability to perform strength and power tasks. Different game tactics (attacking vs. defensive) occurred between home and away games however, it is unclear whether travel fatigue or a home advantage (HA) is associated with this finding. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-02749-015&site=ehost-live"
"The home advantage in major league baseball.","Jones, Marshall B.","Perceptual and Motor Skills",="00315125",,="20151201","121","3","791","14","2016-38191-016","10.2466/26.PMS.121c25x1","Sage Publications","Journal Article","Athletic Performance; Baseball; Sports; Soccer; Adulthood (18 yrs & older); Male",,"Home advantage is smaller in baseball than in other major professional sports for men, specifically football, basketball, or soccer. This paper advances an explanation. It begins by reviewing the main observations to support the view that there is little or no home advantage in individual sports. It then presents the case that home advantage originates in impaired teamwork among the away players. The need for teamwork and the extent of it vary from sport to sport. To the extent that a sport requires little teamwork it is more like an individual sport, and the home team would be expected to enjoy only a small advantage. Interactions among players on the same side (teamwork) are much less common in baseball than in the other sports considered. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-38191-016&site=ehost-live"
"The home advantage over the first 20 seasons of the English Premier League: Effects of shirt colour, team ability and time trends.","Allen, Mark S.; Jones, Marc V.","International Journal of Sport and Exercise Psychology",="1612197X",,="20140101","12","1","10","9","2014-07012-002","10.1080/1612197X.2012.756230","Taylor & Francis","Journal Article","Clothing; Color; Soccer; Teams; Ability; Trends; Adulthood (18 yrs & older)",,"This study explored the relationship between teams' home shirt colour and the magnitude of the home advantage in English professional soccer. Secondary aims were to explore the consistency of the home advantage over time and the relationship between the home advantage and team ability. Archival data from 7720 matches contested over the first 20 seasons of the English Premier League were analysed. The data show that teams wearing red are more successful than teams wearing other colours, and that teams are more successful in home games than in away games (home advantage index = 0.608). The home advantage has also remained consistent over time (1992/1993-2011/2012) and is greater in low-ability teams (teams with lower league positions) than in high-ability teams. After controlling for team ability, it was found that teams opting for red shirts in their home games did not show a greater home advantage than teams opting for other colour shirts. Two possibilities for this finding are offered: (1) shirt colour is not a contributing factor to team success, or (2) changes in psychological functioning associated with viewing or wearing red stay with team members after the shirt colour has been changed. It is recommended that researchers continue to explore the effect of shirt colour on athlete and team behaviour and further explore how team ability can affect the magnitude of the home-field advantage. (PsycINFO Database Record (c) 2016 APA, all rights reserved)","http://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2014-07012-002&site=ehost-live"
